"Company Name","Website","HQ Country","Industry / Market","Employee Count","Last Funding Stage","Last Funding Amount","Last Funding Date","Total Funding","Key Investors","HQ Countries","Team Countries","Intl Hiring (Countries)","Open Jobs (Last 3 Mo)","Remote Hiring %","Hiring Keywords","Data Source","Targeting Rationale (AGS Context)","CHROs","Director + HR","All C-Suite","Update People Search (Find people Table) - 2026-06-03T21:47:33.031Z","Update People Search (Find people Table) - 2026-06-04T14:41:11.370Z","Update People Search (Find people Table) - 2026-06-04T17:32:01.701Z","Update People Search (Find people Table) - 2026-06-05T19:59:24.770Z"
"Common Room","commonroom.io","United States","Artificial Intelligence (AI);Contact Management;Generative AI;Marketing Automation;Sales Automation",179,"Series B","$32M","2021-04-01","$53M","01 Advisors;Dick Costolo;Elena Donio;Greylock;Index Ventures;Madrona;Next Play Ventures","United States","United States;Canada;India;United Kingdom;Papua New Guinea;South Africa;Turkey;United Arab Emirates",1,15,"100%","remote","GoodFit","Recent funding: $32M Series B (2021-04-01) | Hiring in 1 countries outside HQ | 15 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
"Converge","converge.io","United Kingdom","Artificial Intelligence (AI);Construction;Machine Learning;Predictive Analytics;Sensor;Software;Wireless",75,"Venture - Series UNKNOWN","$23M","2025-05-21","$23M","ABN AMRO Sustainable Impact Fund;Climate Investment;Force Over Mass Capital;J-Impact;Move Energy;PI-Impact;Scalar North Capital;TO Ventures;Theo Osborne","United Kingdom","United Kingdom;United States;Philippines;Canada;Australia;India;Netherlands",,4,"33%","remote","GoodFit","Recent funding: $23M Venture - Series UNKNOWN (2025-05-21) | 4 open roles (last 3 mo) | 33% remote hiring | Source: GoodFit",,,,,,,
"Cresta","cresta.com","United States","Artificial Intelligence (AI);Intelligent Systems;Machine Learning;Natural Language Processing;Telecommunications",679,"Series D","$125M","2024-11-19","$276M","Andreessen Horowitz;Comcast Ventures;EnvisionX Capital;Greylock;LG Technology Ventures;Qatar Investment Authority;Qualcomm Ventures;SAV (Scale Asia Ventures);Sequoia Capital;Tiger Global Management;Workday Ventures;World Innovation Lab","Canada;United States","United States;Canada;Romania;Germany;United Kingdom;India;Australia;Botswana;South Africa;Zimbabwe;Algeria;Belgium;China;Lithuania;Mexico;Moldova;New Zealand;Nigeria;Pakistan;Poland;Spain;Taiwan;United Arab Emirates;Zambia",6,137,"75%","remote;global team","GoodFit","Recent funding: $125M Series D (2024-11-19) | Hiring in 6 countries outside HQ | 137 open roles (last 3 mo) | 75% remote hiring | Source: GoodFit",,,,,,,
"DataRobot","datarobot.com","United States","AI Infrastructure;Enterprise Software;Machine Learning",873,"Series G","$300M","2021-06-27","$1.1B","Altimeter Capital;Ballistic Ventures;Counterpoint Global;Franklin Templeton;IQT;J17 Ventures;Meritech Capital Partners;New Enterprise Associates;Page One Ventures;Salesforce Ventures;Sapphire Ventures;ServiceNow Ventures;Snowflake Ventures;Sutter Hill Ventures;Tiger Global Management","Ukraine;United Kingdom;United States","United States;Ukraine;India;Japan;Canada;Germany;United Kingdom;Poland;Ireland;United Arab Emirates;Pakistan;Singapore;Turkey;Australia;Austria;Italy;Saudi Arabia;Spain;Brazil;Indonesia;Bangladesh;Czechia;Denmark;Egypt;France;Philippines;Algeria;Belgium;Georgia;Greece;Hong Kong;Iran;Kenya;Latvia;Malaysia;Nepal;Netherlands;Niger;Nigeria;Peru;Portugal;Slovenia;South Africa;South Korea;Uganda;Vietnam",6,127,"7%","remote;fully remote","GoodFit","Recent funding: $300M Series G (2021-06-27) | Hiring in 6 countries outside HQ | 127 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Daybreak Health","daybreakhealth.com","United States","Health Care;Mental Health;Mobile Apps;Personal Health;Therapeutics",207,"Series B","$13M","2023-08-08","$25M","Alexi Robichaux;Atacama Ventures;Deborah Quazzo;Lightspeed Venture Partners;Lux Capital;Maven Ventures;SignalRank;Union Square Ventures;Y Combinator","United States","United States;Philippines;Colombia;Nicaragua;Peru",,115,"100%","remote;work from anywhere;fully remote","GoodFit","Recent funding: $13M Series B (2023-08-08) | 115 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
"Deepgram","deepgram.com","United States","Artificial Intelligence (AI);Data Collection and Labeling;Machine Learning;Natural Language Processing;Speech Recognition",322,"Series C","$130M","2026-01-13","$216M","AVP;Alkeon Capital;Alumni Ventures;BlackRock;Boost VC;Citi Ventures;Columbia University;Compound;IQT;Madrona;ServiceNow Ventures;Stanford University;Tiger Global Management;Wing Venture Capital;Y Combinator","United States","United States;Philippines;United Kingdom;Germany;India;Brazil;Canada;Spain;Sri Lanka;Argentina;Italy;Netherlands;Nigeria;Norway;Australia;Croatia;France;Hungary;Ireland;Japan;Kuwait;Mali;Mexico;North Macedonia",3,64,"96%","remote;global team","GoodFit","Recent funding: $130M Series C (2026-01-13) | Hiring in 3 countries outside HQ | 64 open roles (last 3 mo) | 96% remote hiring | Source: GoodFit",,,,,,,
"Distyl","distyl.ai","United States","Artificial Intelligence (AI);Generative AI;Information Technology;Software",153,"Series B","$175M","2025-09-22","$202M","Coatue;DST Global;Dell Technologies Capital;Khosla Ventures;Lightspeed Venture Partners;Nat Friedman","United States","United States;India;United Kingdom",1,61,"2%","remote","GoodFit","Recent funding: $175M Series B (2025-09-22) | Hiring in 1 countries outside HQ | 61 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Doctronic","doctronic.ai","United States","Artificial Intelligence (AI);Chatbot;Generative AI;Health Care;Health Diagnostics;Machine Learning;Personal Health",57,"Series B","$40M","2026-03-24","$65M","Abstract;Fei-Fei Li;Lightspeed Venture Partners;MANTIS Venture Capital;Seven Stars;Tusk Venture Partners;Union Square Ventures","United States","United States;Belarus;Australia;Latvia",1,16,"28%","remote;fully remote","GoodFit","Recent funding: $40M Series B (2026-03-24) | Hiring in 1 countries outside HQ | 16 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Domino Data Lab","domino.ai","United States","AI Infrastructure;Analytics;Artificial Intelligence (AI);Big Data;Data Mining;Enterprise Applications;Enterprise Software;Machine Learning;Software",259,"Venture - Series UNKNOWN","$10M","2025-08-21","$234M","Coatue;Empede Capital;Great Hill Partners;HOF Capital;Highland Capital Partners;NVIDIA;Sequoia Capital;Snowflake Ventures;UBS;Verdure Capital Management;Zetta Venture Partners","Argentina;United Kingdom;United States","United States;Argentina;United Kingdom;India;Canada;France;Germany;Australia;Belgium;Nigeria;Philippines;South Korea;Switzerland;Ukraine",,13,"","","GoodFit","Recent funding: $10M Venture - Series UNKNOWN (2025-08-21) | 13 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Dott","ridedott.com","Netherlands","Electric Vehicle;Mobile Apps;Ride Sharing;Transportation",625,"Series D","$17M","2025-10-28","$328M","Aberdeen Standard Investments;EQT Ventures;Estari Group;FJ Labs;Prosus;Prosus Ventures;Sofina;White Star Capital","Belgium;France;Germany;Israel;Italy;Netherlands;Poland","France;Netherlands;Poland;Germany;Italy;United Kingdom;Belgium;Finland;Spain;Hungary;India;Israel;Sweden;Switzerland;United Arab Emirates;Canada;Denmark;Jordan;Saudi Arabia;Uganda;Albania;Brazil;Egypt;Greece;Norway;Taiwan;Turkey;United States",4,69,"39%","remote","GoodFit","Recent funding: $17M Series D (2025-10-28) | Hiring in 4 countries outside HQ | 69 open roles (last 3 mo) | 39% remote hiring | Source: GoodFit",,,,,,,
"Echodyne","echodyne.com","United States","Electronics;National Security;Sensor;Software",253,"Series C","$135M","2022-06-13","$199M","Baillie Gifford;Bill Gates;Madrona;New Enterprise Associates;Northrop Grumman;Vanedge Capital;Vulcan Capital","United States","United States;United Kingdom;Singapore;Canada;Spain;Switzerland;Togo",1,52,"","","GoodFit","Recent funding: $135M Series C (2022-06-13) | Hiring in 1 countries outside HQ | 52 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"First Street","firststreet.org","United States","Environmental Consulting;Non Profit;Real Estate",94,"Venture - Series UNKNOWN","$55M","2024-03-11","$55M","Congruent Ventures","United States","United States;Canada;United Kingdom;Singapore",,7,"","","GoodFit","Recent funding: $55M Venture - Series UNKNOWN (2024-03-11) | 7 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Focal Systems","focal.systems","United States","Artificial Intelligence (AI);Computer Vision;Retail Technology",126,"Series B","$26M","2021-11-01","$42M","Costanoa Ventures;Point72 Ventures;Seabed VC;Uncork Capital;Y Combinator;Zetta Venture Partners","Canada;United Kingdom;United States","United Kingdom;United States;Canada;Poland;Portugal;France;Kenya;Moldova;Turkey",2,17,"70%","remote","GoodFit","Recent funding: $26M Series B (2021-11-01) | Hiring in 2 countries outside HQ | 17 open roles (last 3 mo) | 70% remote hiring | Source: GoodFit",,,,,,,
"Gigs","gigs.com","United States","Software;Subscription Service;Telecommunications;Wireless",265,"Series B","$73M","2024-12-12","$97M","Crane Venture Partners;Dara Khosrowshahi;Fidji Simo;Gradient;Max Tayenthal;Ribbit Capital;Speedinvest;Y Combinator;Y Combinator Continuity Fund","Germany;United Kingdom;United States","United States;Germany;United Kingdom;Netherlands;Spain;Brazil;India;Italy;Poland;Switzerland;Denmark;France;South Africa;Sweden;Belgium;Canada;Finland;Hungary;Indonesia;Kuwait;Lithuania;Malta;North Macedonia;Norway;Pakistan;Portugal;Romania;Tunisia",6,119,"100%","remote;global team","GoodFit","Recent funding: $73M Series B (2024-12-12) | Hiring in 6 countries outside HQ | 119 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
"Hud","hud.io","United States","Artificial Intelligence (AI);Machine Learning;Sensor",50,"Venture - Series UNKNOWN","$21M","2025-12-11","$21M","Aleph;Square Peg Capital","United States","Israel;United States;Canada;Kosovo;Taiwan",1,25,"","","GoodFit","Recent funding: $21M Venture - Series UNKNOWN (2025-12-11) | Hiring in 1 countries outside HQ | 25 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Incode","incode.com","United States","AI Infrastructure;Biometrics;Compliance;Identity Management;Machine Learning;Software",666,"Series B","$220M","2021-12-07","$257M","3L Capital;Capital One Ventures;Coinbase Ventures;DILA Capital;DN Capital;Framework Venture Partners;General Atlantic;Silicon Valley CISO Investments;SoftBank;Walter Ventures","Mexico;Serbia;Spain;United States","Mexico;Serbia;United States;Spain;Colombia;United Kingdom;Argentina;India;United Arab Emirates;Netherlands;Brazil;Canada;Estonia;Italy;Nigeria;Peru;Philippines;Austria;Belgium;Chile;Croatia;Georgia;Guatemala;Japan;North Macedonia;Portugal;Puerto Rico;South Africa;Ukraine;Uruguay",2,36,"","global team","GoodFit","Recent funding: $220M Series B (2021-12-07) | Hiring in 2 countries outside HQ | 36 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Jump - Advisor AI","jump.ai","United States","Artificial Intelligence (AI);FinTech;Financial Services;Generative AI;SaaS;Wealth Management",231,"Series B","$80M","2026-02-20","$109M","Aaron Skonnard;Allianz Life Ventures;Battery Ventures;F-Prime;Hans Tung;Insight Partners;Pelion Venture Partners;Peterson Partners;Ryan Anderson;Sorenson Capital","United States","United States;Brazil;Poland;Romania;India;Kazakhstan;Turkey;Ukraine",1,27,"58%","remote;fully remote","GoodFit","Recent funding: $80M Series B (2026-02-20) | Hiring in 1 countries outside HQ | 27 open roles (last 3 mo) | 58% remote hiring | Source: GoodFit",,,,,,,
"Klarity","klarity.ai","United States","Accounting;Artificial Intelligence (AI);Document Management;Document Preparation;Generative AI;Machine Learning;SaaS;Software",178,"Series B","$70M","2024-06-24","$90M","Brad Lightcap;Germaine Cota;Invus;Ironwood Ventures;NFDG Ventures;Nat Friedman;Picus Capital;Sam Wilson;Scale Venture Partners;Tola Capital;Y Combinator","United States","United States;India;United Kingdom;Germany;Canada;Japan;Netherlands;Singapore",,50,"29%","remote","GoodFit","Recent funding: $70M Series B (2024-06-24) | 50 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"LangChain","langchain.com","United States","Agentic AI;Artificial Intelligence (AI);Database;Developer APIs;Developer Tools;Generative AI",321,"Series B","$125M","2025-10-20","$160M","Amplify Partners;Benchmark;Cisco Investments;Databricks Ventures;Datadog;Frontline Ventures;IVP;Sequoia Capital;ServiceNow Ventures;Workday Ventures","Netherlands;United Kingdom;United States","United States;United Kingdom;India;Netherlands;Germany;Canada;Switzerland;Australia;Brazil;Czechia;Nigeria;Pakistan;Philippines;Rwanda;South Korea;Sri Lanka;Sweden;Thailand;Ukraine",5,161,"11%","remote","GoodFit","Recent funding: $125M Series B (2025-10-20) | Hiring in 5 countries outside HQ | 161 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Luma","lumalabs.ai","United States","Artificial Intelligence (AI);Foundational AI;Generative AI;Video;Video Editing",331,"Series C","$900M","2025-11-19","$1.1B","AMD;AMD Ventures;Amplify Partners;Andreessen Horowitz;Factorial Funds;HUMAIN;Hanwha;Matrix;Omniva","United States","United States;Canada;India;United Arab Emirates;United Kingdom;Italy;Brazil;Pakistan;Argentina;Austria;France;Georgia;Ghana;Israel;Nigeria;Spain;Australia;Bahrain;Bulgaria;China;Colombia;Denmark;Egypt;Finland;Indonesia;Iran;Ireland;Japan;Kenya;Nepal;New Zealand;Norway;Portugal;Puerto Rico;Romania;Russia;Slovenia;South Africa;Sweden;Switzerland;Thailand;Turkey",3,92,"3%","remote","GoodFit","Recent funding: $900M Series C (2025-11-19) | Hiring in 3 countries outside HQ | 92 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Mashgin","mashgin.com","United States","3D Technology;Artificial Intelligence (AI);Computer Vision;Retail Technology;Software",123,"Series B","$62M","2022-05-09","$74M","Eclipse Ventures;Four Cities Capital;Highway1;Matrix;New Enterprise Associates;Qasar Younis;Root Ventures;TenOneTen Ventures;Y Combinator","United States","United States;Brazil;Sweden;Australia;Portugal;South Africa",,20,"18%","remote","GoodFit","Recent funding: $62M Series B (2022-05-09) | 20 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Movandi","movandi.com","United States","Internet;Mobile;Wireless",43,"Venture - Series UNKNOWN","$40M","2025-10-14","$97M","4G Capital;5G Ventures;Celesta Capital;Cota Capital;DNX Ventures;ITHCA group;Murata Manufacturing;Sierra Ventures;VentureTech Alliance","Australia;United States","United States;Australia;Oman;China;Sweden",2,12,"","","GoodFit","Recent funding: $40M Venture - Series UNKNOWN (2025-10-14) | Hiring in 2 countries outside HQ | 12 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Niantic, Inc.","nianticlabs.com","United States","Apps;Augmented Reality;Gaming;Software;Virtual Reality",664,"Series D","$300M","2021-11-22","$770M","AXiomatic;Alsop Louie Partners;Battery Ventures;CRV;Causeway Media Partners;Coatue;ID8 Investments;IVP;Pure Imagination Brands;SMVentures;Samsung Ventures;Spark Capital","Germany;Japan;Switzerland;United Kingdom;United States","United States;Japan;India;United Kingdom;Switzerland;South Korea;Brazil;Canada;Indonesia;Mexico;Spain;Taiwan;Australia;Germany;Italy;Singapore;Belgium;France;Malaysia;Chile;Hong Kong;New Zealand;Nigeria;Philippines;Bolivia;China;Greece;Hungary;Iran;Lithuania;Qatar;Russia;Saudi Arabia;Sweden;Tanzania;Turkey;Venezuela;Vietnam",,,"","","GoodFit","Recent funding: $300M Series D (2021-11-22) | Source: GoodFit",,,,,,,
"Nscale","nscale.com","United Kingdom","AI Infrastructure;Artificial Intelligence (AI);Data Center;GPU;Information Technology;Internet;Telecommunications",564,"Series C","$2.0B","2026-03-09","$5.1B","8090 Industries;Aker;Astra Capital Management;Blue Owl;Citadel;Dell;Jane Street Capital;Lenovo;Linden Advisors;LuminArx Capital Management LP;NVIDIA;Nokia;PIMCO;Point72;Sandton Capital Partners","United Kingdom","United Kingdom;United States;Norway;Singapore;Netherlands;Ireland;Australia;Germany;Portugal;Spain;Canada;United Arab Emirates;Austria;Belgium;Finland;Italy;Jersey;Mexico;New Zealand;Poland;Romania;Switzerland;Taiwan;Thailand",9,562,"31%","remote;global team","GoodFit","Recent funding: $2.0B Series C (2026-03-09) | Hiring in 9 countries outside HQ | 562 open roles (last 3 mo) | 31% remote hiring | Source: GoodFit",,,,,,,
"OXIO","oxio.com","United States","Cloud Data Services;Infrastructure;Telecommunications;Wireless",102,"Series B","$40M","2022-03-16","$55M","Allan Green;Ascend Venture Capital;Atlantico;Digital Currency Group;FinTech Collective;King River Capital;Leyden Ventures;MONASHEES;Multicoin Capital;ParaFi Capital;Unshackled Ventures","Canada;Mexico;United States","United States;Canada;Mexico;France;United Kingdom;Bangladesh;Brazil;Colombia;India;Kenya",,16,"","","GoodFit","Recent funding: $40M Series B (2022-03-16) | 16 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Opensignal","opensignal.com","United States","Analytics;Mobile;Telecommunications;Wireless",329,"Venture - Series UNKNOWN","","2018-09-28","$13M","Frog Capital;Future Fifty;Octopus Ventures;Oreilly AlphaTech Ventures;Passion Capital;Qualcomm Ventures","Canada;United Kingdom;United States","United States;United Kingdom;Canada;Poland;Singapore;Spain;Colombia;Hungary;Japan;Malaysia;Netherlands;United Arab Emirates;Bolivia;Brazil;Czechia;Georgia;India;Indonesia;Ireland;Italy;New Zealand;Philippines;Romania;South Africa;South Korea",3,14,"100%","remote","GoodFit","Recent funding:  Venture - Series UNKNOWN (2018-09-28) | Hiring in 3 countries outside HQ | 14 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
"Phamily","phamily.com","United States","Health Care;Health Diagnostics;Information Technology;Internet;Virtual Assistant",184,"Venture - Series UNKNOWN","$10M","2025-06-24","$25M","Darwin Venture Management;Level Equity Management;Mentors Fund","United States","United States;Canada;India;Australia;Côte d'Ivoire;France;Ghana;Vietnam",,52,"54%","remote","GoodFit","Recent funding: $10M Venture - Series UNKNOWN (2025-06-24) | 52 open roles (last 3 mo) | 54% remote hiring | Source: GoodFit",,,,,,,
"Photoroom","photoroom.com","United States","Artificial Intelligence (AI);Generative AI;Machine Learning;Mobile Apps;Photo Editing;Photography",694,"Series B","$43M","2024-02-27","$43M","Adjacent;Aglaé Ventures;Balderton Capital;FJ Labs;Holger Seim;Hugging Face;Meta;Y Combinator;Yann LeCun","France;United States","India;France;United Kingdom;United States;Bangladesh;Pakistan;Germany;Nigeria;Italy;Sri Lanka;Algeria;Egypt;Iran;Morocco;Philippines;Spain;Ethiopia;Nepal;Netherlands;Poland;Brazil;Indonesia;Portugal;Slovakia;Sweden;Turkey;United Arab Emirates;Vietnam;Afghanistan;Australia;Belgium;Bulgaria;Estonia;Georgia;Kyrgyzstan;Lebanon;Malaysia;Maldives;Myanmar;Romania;Saudi Arabia;Serbia;Somalia;South Africa;South Korea;Switzerland;Tunisia;Ukraine;Zimbabwe",7,135,"100%","remote;work from anywhere;global team;fully remote","GoodFit","Recent funding: $43M Series B (2024-02-27) | Hiring in 7 countries outside HQ | 135 open roles (last 3 mo) | 100% remote hiring | Source: GoodFit",,,,,,,
